Construction,828,"Tenant fit up on the 2nd floor of a 2 storey retail building (Legends of the Trade, Suite #303)",2015-05-04T11:12:24,Retail,Old Ottawa,30000,CONTRACTOR UNKNOWN,K1K3B8,1200  ,0,747,"",1502116,Ward 13,48,ST. LAURENT BLVD 
Pool Enclosure,0,Install an enclosure for an inground pool (rear yard),2015-05-04T11:12:37,Single,Goulbourn,0,POOL BUILDERS OTTAWA,K2S0S9,697  ,0,4M-1447,68,1502117,Ward 6,49,BIRCHLAND CRES 
Construction,0,Plumbing Only - Changeover from septic system to City sewers in a detached dweling,2015-05-04T11:15:25,Single,Gloucester,2000,ANDRE TAILLEFER LTD.,K4B1H9,6250  ,0,4M-,4,1502118,Ward 2,50,RENAUD RD 
Construction,1400,Tenant fit-up in a 3 storey retail building (National Access Cannabis),2015-05-04T11:22:13,Retail,Old Ottawa,25000,KSL CONSTRUCTION,K1Y2Y6,1111  ,0,83N,41,1502119,Ward 15,51,WELLINGTON ST W
Construction,300,Construct a deck (rear yard),2015-05-04T12:03:30,Single,Old Ottawa,8000,CREATIVE HARDSCAPES,K2C4H3,516  ,0,4M-1258,69,1502120,Ward 16,52,KOCHAR DR 
Construction,3741,"Construct a 2 Storey Semi - Detached with attached garages  Models: Magnolia G 2011,White Cedar 2011 Std",2015-05-04T12:22:34,Semi - Detached,Nepean,556061,TARTAN HOMES CORPORATION,K2J3L7,1076  ,2,4M-1513,"",1502121,Ward 3,53,COBBLE HILL DR 
Construction,3741,"Construct a 2 Storey Semi - Detached with attached garages  Models: Magnolia G 2011,White Cedar 2011 Std",2015-05-04T12:22:34,Semi - Detached,Nepean,556061,TARTAN HOMES CORPORATION,K2J3L7,1078  ,2,4M-1513,"",1502121,Ward 3,54,COBBLE HILL DR 
Construction,3151,Construct a 3 storey detached dwelling,2015-05-04T13:05:31,Single,Old Ottawa,381410,***CONTRACTOR***,K1Y2G2,143  ,1,92,27,1502122,Ward 15,55,BAYSWATER AVE 
Construction,0,Plumbing only - Install a Protective Device on the building drain,2015-05-04T13:14:02,Single,Nepean,0,PROTECTIVE PLUMBING CANADA,K2H5J2,16  ,0,420102,192,1502123,Ward 7,56,ELTERWATER AVE 
Construction,1292,Exterior alterations to repair the balconies on a 3 storey residential building,2015-05-04T13:27:49,Apartment,Nepean,40000,RAMCOR CONSTRUCTION,K2G3R6,6  -14,0,"",35,1502124,Ward 8,57,DEERFIELD DR 
Construction,1292,Exterior alterations to repair the balconies on a 3 storey residential building,2015-05-04T13:27:49,Apartment,Nepean,40000,RAMCOR CONSTRUCTION,K2G3R6,6  -7,0,"",35,1502124,Ward 8,58,DEERFIELD DR 
Construction,1292,Exterior alterations to repair the balconies on a 3 storey residential building,2015-05-04T13:27:49,Apartment,Nepean,40000,RAMCOR CONSTRUCTION,K2G3R6,6  -8,0,"",35,1502124,Ward 8,59,DEERFIELD DR 
Construction,1292,Exterior alterations to repair the balconies on a 3 storey residential building,2015-05-04T13:27:49,Apartment,Nepean,40000,RAMCOR CONSTRUCTION,K2G3R6,6  -9,0,"",35,1502124,Ward 8,60,DEERFIELD DR 
Construction,1292,Exterior alterations to repair the balconies on a 3 storey residential building,2015-05-04T13:27:49,Apartment,Nepean,40000,RAMCOR CONSTRUCTION,K2G3R6,6  ,0,"",35,1502124,Ward 8,61,DEERFIELD DR 
Construction,1000,Interior alterations to the basement of a 1 storey detached dwelling,2015-05-04T13:28:12,Single,Old Ottawa,15000,***CONTRACTOR***,K1Z6K6,965  ,0,314,133,1502125,Ward 16,62,HOLLINGTON ST 
Construction,2584,Exterior alterations to repair the balconies on a 3 storey residential building,2015-05-04T13:28:39,Apartment,Nepean,70000,RAMCOR CONSTRUCTION,K2G3R6,14  -1,0,"",35,1502126,Ward 8,63,DEERFIELD DR 
Construction,2584,Exterior alterations to repair the balconies on a 3 storey residential building,2015-05-04T13:28:39,Apartment,Nepean,70000,RAMCOR CONSTRUCTION,K2G3R6,14  -10,0,"",35,1502126,Ward 8,64,DEERFIELD DR 
Construction,2584,Exterior alterations to repair the balconies on a 3 storey residential building,2015-05-04T13:28:39,Apartment,Nepean,70000,RAMCOR CONSTRUCTION,K2G3R6,14  -13,0,"",35,1502126,Ward 8,65,DEERFIELD DR 
Construction,2584,Exterior alterations to repair the balconies on a 3 storey residential building,2015-05-04T13:28:39,Apartment,Nepean,70000,RAMCOR CONSTRUCTION,K2G3R6,14  -14,0,"",35,1502126,Ward 8,66,DEERFIELD DR 
Construction,2584,Exterior alterations to repair the balconies on a 3 storey residential building,2015-05-04T13:28:39,Apartment,Nepean,70000,RAMCOR CONSTRUCTION,K2G3R6,14  -15,0,"",35,1502126,Ward 8,67,DEERFIELD DR 
Construction,2584,Exterior alterations to repair the balconies on a 3 storey residential building,2015-05-04T13:28:39,Apartment,Nepean,70000,RAMCOR CONSTRUCTION,K2G3R6,14  -16,0,"",35,1502126,Ward 8,68,DEERFIELD DR 
Construction,2584,Exterior alterations to repair the balconies on a 3 storey residential building,2015-05-04T13:28:39,Apartment,Nepean,70000,RAMCOR CONSTRUCTION,K2G3R6,14  -6,0,"",35,1502126,Ward 8,69,DEERFIELD DR 
